,nOfCon,nOfM,Dc,sAEC,infScore,confidence_int_95
549,1,32,60,50000,0.0,0.0
550,1,32,60,150000,0.0002,0.00039196079803980395
551,1,32,60,500000,0.0,0.0
552,1,32,200,1500,0.0182,0.003705256493577739
553,1,32,200,5000,0.0,0.0
554,1,32,200,15000,0.0,0.0
555,1,32,200,50000,0.0,0.0
556,1,32,200,150000,0.0,0.0
557,1,32,200,500000,0.0,0.0
558,1,32,600,1500,0.0642,0.006794071353408058
559,1,32,600,5000,0.0122,0.0030428846923930587
560,1,32,600,15000,0.0006,0.0006787601968294841
561,1,32,600,50000,0.0,0.0
562,1,32,600,150000,0.0,0.0
563,1,32,600,500000,0.0,0.0
564,1,32,2000,1500,0.1032,0.008432545973974883
565,1,32,2000,5000,0.064,0.006784205279913042
566,1,32,2000,15000,0.0142,0.0032795152012454524
567,1,32,2000,50000,0.0002,0.00039196079803980395
568,1,32,2000,150000,0.0,0.0
569,1,32,2000,500000,0.0004,0.0005542608310173108
570,1,32,6000,1500,0.123,0.009103814954182669
571,1,32,6000,5000,0.103,0.008425310268470829
