,nOfCon,nOfM,Dc,sAEC,infScore,confidence_int_95
416,1,1.2,600,15000,0.0124,0.003067414402522098
417,1,1.2,600,50000,0.002,0.001238372609516215
418,1,1.2,600,150000,0.0008,0.0007836863372548995
419,1,1.2,600,500000,0.0006,0.0006787601968294841
420,1,1.2,2000,1500,0.1648,0.010283593845888702
421,1,1.2,2000,5000,0.1478,0.009837371017258626
422,1,1.2,2000,15000,0.0832,0.007655437842684114
423,1,1.2,2000,50000,0.0156,0.0034349401224475517
424,1,1.2,2000,150000,0.0028,0.00146467483463054
425,1,1.2,2000,500000,0.0002,0.00039196079803980395
426,1,1.2,6000,1500,0.1698,0.01040713711965015
427,1,1.2,6000,5000,0.1686,0.010377789668942034
428,1,1.2,6000,15000,0.1438,0.009726086416395857
429,1,1.2,6000,50000,0.0822,0.007613441317249381
430,1,1.2,6000,150000,0.0132,0.0031635347197715405
431,1,1.2,6000,500000,0.0016,0.0011078560830721652
432,1,1.3,20,1500,0.0012,0.0009596236862437275
433,1,1.3,20,5000,0.0004,0.0005542608310173108
434,1,1.3,20,15000,0.0,0.0
435,1,1.3,20,50000,0.0002,0.00039196079803980395
436,1,1.3,20,150000,0.0004,0.0005542608310173108
437,1,1.3,20,500000,0.0006,0.0006787601968294841
438,1,1.3,60,1500,0.0166,0.003541524211522491
439,1,1.3,60,5000,0.0014,0.0010364082655015833
440,1,1.3,60,15000,0.0002,0.00039196079803980395
441,1,1.3,60,50000,0.0002,0.00039196079803980395
442,1,1.3,60,150000,0.0,0.0
443,1,1.3,60,500000,0.0002,0.00039196079803980395
444,1,1.3,200,1500,0.0822,0.007613441317249381
445,1,1.3,200,5000,0.0138,0.0032336507447774873
446,1,1.3,200,15000,0.0014,0.0010364082655015833
447,1,1.3,200,50000,0.0,0.0
448,1,1.3,200,150000,0.0002,0.00039196079803980395
449,1,1.3,200,500000,0.0006,0.0006787601968294841
450,1,1.3,600,1500,0.1328,0.009406536419490437
451,1,1.3,600,5000,0.064,0.006784205279913042
452,1,1.3,600,15000,0.0088,0.0025887675251362375
453,1,1.3,600,50000,0.0014,0.0010364082655015833
454,1,1.3,600,150000,0.0008,0.0007836863372548995
455,1,1.3,600,500000,0.0,0.0
456,1,1.3,2000,1500,0.1494,0.009881185607243699
457,1,1.3,2000,5000,0.123,0.009103814954182669
458,1,1.3,2000,15000,0.072,0.007164919337996765
459,1,1.3,2000,50000,0.0104,0.0028120146708009897
460,1,1.3,2000,150000,0.0016,0.0011078560830721652
461,1,1.3,2000,500000,0.0,0.0
462,1,1.3,6000,1500,0.1476,0.009831866398441346
463,1,1.3,6000,5000,0.137,0.009530962276706377
464,1,1.3,6000,15000,0.124,0.009135534559072062
465,1,1.3,6000,50000,0.0626,0.006714608724028527
